№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
1|Согласно закону РА "Об обеспечении безопасности дорожного движения", пассажиром считается:|Лицо, находящееся в салоне (кабине) транспортного средства или на транспортном средстве, кроме водителя и обучающего вождению лица.|Лицо, находящееся в салоне (кабине) транспортного средства или на транспортном средстве, а также лицо, которое садится (поднимается) в транспортное средство и выходит из (сходит с) него, кроме водителя и обучающего вождению лица.|||2
2|Согласно закону РА "Об обеспечении безопасности дорожного движения", удостоверение на право управления транспортных средств категории "А" может выдаться:|Лицам от 16 лет.|Лицам от 17 лет.|Лицам от 18 лет.||3
3|Согласно закону РА "Об обеспечении безопасности дорожного движения", удостоверение на право управления транспортных средств категории "ВЕ" может выдаться:|Лицам от 17 лет.|Лцам от 18 лет.|Лицам от 19 лет.||3
4|Согласно закону РА "Об обеспечении безопасности дорожного движения", проезжей частью дороги считается:|Элемент дороги, предназначенный для движения транспортных средств.|Элемент дороги, предназначенный для движения безрельсовых транспортных средств.|||2
5|Должен ли обучающийся вождению во время учебной езды пристегиваться ремнями безопасности?|Должен.|Не должен.|Не должен, если это затрудняет управление автомобиля.|Не должен, если обучающий разрешает вести.|1
6|Согласно закону РА "Об обеспечении безопасности дорожного движения", водительское удостоверение на право управления транспортных средств категории "D" и подкатегории "D1" может выдаться:|Лицам от 18 лет.|Лицам от 19 лет.|Лицам от 20 лет.|Лицам от 21 года.|4
7|Согласно закону РА "Об обеспечении безопасности дорожного движения", пешеходом считается:|Лицо, находящееся вне транспортного средства на дороге, за исключением лица, имеющего полномочие на произведение работ на дороге и в порядке, установленном законодательством, осуществляющего данные работы.|Лицо, находящееся вне транспортного средства на дороге, в том числе лица, имеющего полномочие на произведение работ на дороге и в порядке, установленном законодательством, осуществляющего данные работы.|||1
8|Согласно закону РА "Об обеспечении безопасности дорожного движения", начальное обучение по практическому вождению транспортного средства осуществляется:|Вне населённых пунктов, на дорогах, учитывая интенсивность движения транспортных средств.|На закрытой площадке или автодроме.|На любой дороге (кроме автомагистралей), учитывая интенсивность движения транспортных средств.||2
9|Согласно закону РА "Об обеспечении безопасности дорожного движения", считается ли перекрестком выезд с прилегающей территории на дорогу?|Не считается.|Считается.|||1
10|Согласно закону РО "Об обеспечении безопасности дорожного движения", лицам, имеющим водительское удостоверение на управление транспортных средств категорий "В", "С" и "D", разрешается их водить также с прицепами, если разрешенная максимальная масса прицепа:|750 килограмм.|800 килограмм.|1000 килограмм.||1
11|Согласно закону РА "Об обеспечении безопасности дорожного движения", водительское удостоверение на право управления транспортных средств категорий "В" и "С" может выдаться:|Лицам от 16 лет.|Лицам от 17 лет.|Лицам от 18 лет.||3
12|Согласно закону РА "Об обеспечении безопасности дорожного движения", мопедом считается:|Двух- или трехколесное транспортное средство с двигателем с рабочим объемом до 50 см куб. и максимальной скоростью до 50 км/ч.|Двух- или трехколесное транспортное средство с двигателем с рабочим объемом до 60 см куб. и максимальной скоростью до 60 км/ч.|Двух- или трехколесное транспортное средство с двигателем с рабочим объемом до 70 см куб. и максимальной скоростью до 70 км/ч.||1
13|Согласно закону РА "Об обеспечении безопасности дорожного движения", вынужденной остановкой считается:|Прекращение движения в связи с неожиданным включением запрещающего сигнала светофора.|Прекращение движения в связи с образовавшейся на дороге пробке.|Прекращение движения транспортного средства из-за его неисправности, опасности, создаваемой физическим и (или) душевным состоянием водителя (пассажира) и (или) перевозимым грузом, появления препятствия на дороге.|Все перечисленные случаи.|4
14|Согласно закону РА "Об обеспечении безопасности дорожного движения", недостаточной видимостью считается:|Расстояние видимости дороги в темное время суток.|Расстояние видимости дороги в населенных пунктах, в условиях отсутствия искусственного освещения проезжей части.|Видимость дороги и (или) расстояние видимости до 300 метров, в условиях тумана, дождя, снегопада и (или) других неблагоприятных погодных условиях для обеспечения безопасности дорожного движения.||3
15|Согласно закону РА "Об обеспечении безопасности дорожного движения", остановкой считается:|Преднамеренное приведение транспортного средства в неподвижное состояние на время до 5 минут или на необходимое время для посадки или высадки пассажиров и (или) загрузки, разгрузки транспортного средства.|Приведение транспортного средства в неподвижное состояние на время более 5 минут, если это не связано с посадкой, высадкой пассажиров или загрузки, разгрузки транспортного средства.|||1
