№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
1|С какой максимальной скоростью разрешается движение легковых автомобилей на участках дорог вне населенных пунктов?|110 км/ч.|100 км/ч.|90 км/ч.|80 км/ч.|70 км/ч.|3
2|При перевозке людей в оборудованном кузове грузового автомобиля движение разрешается со скоростью не более:|60 км/ч.|70 км/ч.|80 км/ч.|||1
3|На каком расстоянии до начала опасного участка устанавливается этот предупреждающий знак вне населенных пунктах?|50 - 100 м.|150 - 300 м.|300 - 500 м.|||2
4|Движение транспортных средств, перевозящих организованные группы детей, разрешается со скоростью:|Не более 60 км/ч.|Не более 70 км/ч.|Не более 80 км/ч.|||1
5|Движение транспортных средств в населенных пунктах разрешается со скоростью:|Не более 60 км/ч.|Не более 80 км/ч.|Не более 90 км/ч.|||1
6|В каком направлении разрешено движение?|Только прямо.|Прямо и направо.|Прямо, направо и налево.|Во всех направлениях.||3
7|Движение междугородних автобусов вне населенных пунктов разрешается со скоростью:|Не более 70 км/ч.|Не более 90 км/ч.|Не более 110 км/ч.|||2
8|Движение грузовых автомобилей с разрешенной максимальной массой не более 3,5 т вне населенных пунктов разрешается со скоростью:|Не более 90 км/ч.|Не более 70 км/ч.|Не более 80 км/ч.|||1
9|Разрешается ли в населенных пунктах водителям пригородного, межобластного и междугороднего автобусов превышать скорость 60 км/ч?|Разрешается только по дороге, имеющей две и более полосы для движения в одном и том же направлении.|Разрешается.|Запрещается.|||3
10|Разрешается ли вне населенных пунктов водителю междугороднего автобуса превышать скорость 70 км/ч?|Разрешается только по дороге, имеющей две и более полосы для движения в данном направлении.|Разрешается, если не превышает скорость 90 км/ч.|Запрещается.|||2
11|Во время буксировки, при отсутствии или неисправности аварийной световой сигнализации, знак "Аварийная остановка" устанавливается:|В задней чати буксируемого транспортного средства.|В передней части буксируемого транспортного средства.|По усмотрению водителя, на видном месте одного из транспортных средств.|||1
12|При буксировке на жесткой сцепке расстояние между транспортными средствами не должно превышать:|2 м.|3 м.|4 м.|5 м.|6 м.|3
