№|Вопрос|Вариант 1|Вариант 2|Вариант 3|Вариант 4|Вариант 5|Правильный вариант ответа
1|Разрешается ли заезжать на полосу, обозначенную этим знаком, при выполнении правого поворота?|Разрешается|Запрещается|Разрешается, если полоса не отделена от остальной проезжей части сплошной линией разметки.|||3
2|Этот дорожный знак обозначает:|Участок дороги, на котором имеется тротуар или пешеходная дорожка.|Участок дороги, на котором имеется пешеходный переход.|Участок дороги, не имеющий тротуара или пешеходной дорожки.|||2
3|Какой из указанных знаков запрещает движение с дистанцией, меньшей указанной на знаке?|1|2|3|4|5|3
4|На каком расстоянии до начала опасного участка дороги устанавливаются эти знаки в населенных пунктах?|15 - 25 м.|25 - 50 м.|50 - 100 м.|100 - 150 м.|150 - 300 м.|3
5|Этот дорожный знак:|Запрещает движение всех механических транспортных средств, за исключением двухколесных мотоциклов без бокового прицепа.|Запрещает движение всех транспортных средств, за исключением колесных тракторов.|Запрещает движение тракторов и самоходных машин.|||3
6|Какой из указанных знаков обязывает уступить дорогу встречным транспортным средствам, въезжающим на узкий участок дороги или подъезжающим к нему?|1|2|3|4|5|3
7|Какой из указанных знаков предупреждает о приближении к перекрестку равнозначных дорог?|1|2|3|4|5|5
8|Какой из указанных знаков устанавливается непосредственно перед пересечением проезжих частей?|1|2|3|4|5|2
9|Эти знаки разрешают движение:|Только налево.|Только прямо.|Только направо.|Прямо, направо и в обратном направлении.||4
10|Какой из указанных знаков предоставляет водителю преимущество по отношению к встречным транспортным средствам?|1|2|3|4|5|4
11|Что означает табличка, установленная под знаком?|Расстояние от знака до начала первого поворота.|Расстояние от первого поворота до начала второго поворота.|Протяженность участка дороги с опасными поворотами.|||3
12|Что означают следующие знаки?|Движение мотоциклов направо запрещено.|Движение мотоциклов направо разрешено.||||1
13|Какой знак запрещает стоянку по четным числам месяца?|1|2|3|4|5|5
14|Этот дорожный знак:|Разрешает движение только с указанной или большей скоростью.|Запрещает движение с большей скоростью, чем указано на знаке.|Указывает скорость, с которой рекомендуется движение на данном участке дороги.|||1
15|Какой из следующих знаков обязывает уступить дорогу встречным транспортным средствам?|1|2|3|4|5|2
16|Этот знак называется:|Предварительный указатель объезда препятствий.|Предварительный указатель перестроения на другую проезжую часть.|Предварительный указатель выезда на полосу встречного движения.|||2
17|Какой из знаков обязывает уступить дорогу транспортным средствам, движущимся по пересекаемой дороге?|1|2|3|4|5|3
18|Разрешается ли водителю автобуса выполнить обгон в зоне действия этого знака?|Разрешается во всех случаях с соблюдением правил обгона.|Не разрешается.|Разрешается, если скорость обгоняемого транспортного средства не превышает 30 км/ч.|||1
19|Какой из следующих знаков разрешает движение только с указанной (км/ч) или большей скоростью?|1|2|3|4|5|3
20|Какой из знаков указывает участок дороги с односторонним движением?|1|2|3|4|5|3
21|Что указывает табличка, установленная под знаком?|Протяженность узкого участка дороги.|Расстояние от знака до до места ограничения.|Расстояние до объезда узкого участка дороги.|||2
22|Этот дорожный знак предупреждает, что впереди:|Участок дороги с водной преградой, не имеющий моста или паромной переправы.|Участок дороги с водной преградой, на котором имеется разводной мост.|Место, где дорога выходит на набережную или берег.|||3
23|Какой из знаков указывает зону действия дорожных знаков, запрещающих остановку и стоянку транспортных средств?|1|2|3|4|5|4
24|Какой из следующих знаков протяженность опасного участка дороги, обозначенного предупреждающими знаками?|1|2|3|4|5|4
25|Этот дорожный знак обозначает:|Дорога с односторонним движением, на которой разрешено движение только грузовых автомобилей.|Полосу, предназначенную для движения только грузовых автомобилей.|Рекомендуемое направление движения для грузовых автомобилей.|||3
26|Какой из знаков обозначает "Гостиницу" или "Мотель"?|1|2|3|4|5|3
